data_structure,database,workload,threads,file_path,date_parsed,load_throughput_ops_sec,load_runtime_ms,load_insert_count,load_insert_avg_latency_us,load_insert_95p_latency_us,load_insert_99p_latency_us,run_throughput_ops_sec,run_runtime_ms,run_read_count,run_read_avg_latency_us,run_read_95p_latency_us,run_read_99p_latency_us,run_update_count,run_update_avg_latency_us,run_update_95p_latency_us,run_update_99p_latency_us,run_gc_count,run_gc_time_ms,run_gc_time_percentage,run_insert_count,run_insert_avg_latency_us,run_insert_95p_latency_us,run_insert_99p_latency_us,run_scan_count,run_scan_avg_latency_us,run_scan_95p_latency_us,run_scan_99p_latency_us
btree,mongodb,write_heavy,16,benchmarks/results/raw/btree/mongodb/write_heavy/mongodb_write_heavy_16threads.txt,2025-06-03T19:01:59.379315,47147.57190004715,2121.0,100000.0,298.74158,543.0,788.0,46816.479400749064,2136.0,9831.0,317.63604923202115,588.0,826.0,50095.0,316.9533885617327,586.0,832.0,10.0,22.0,1.0299625468164793,40074.0,276.7976243948695,560.0,810.0,,,,
hashtable_inmemory,memcached,balanced,1,benchmarks/results/raw/hashtable_inmemory/memcached/balanced/memcached_balanced_1threads.txt,2025-06-03T19:01:59.366808,25445.29262086514,3930.0,100000.0,37.51217,51.0,86.0,26434.047052603753,3783.0,49928.0,36.94309806120814,52.0,91.0,50072.0,34.818161846940406,49.0,86.0,7.0,9.0,0.23790642347343377,,,,,,,,
hashtable_inmemory,memcached,balanced,4,benchmarks/results/raw/hashtable_inmemory/memcached/balanced/memcached_balanced_4threads.txt,2025-06-03T19:01:59.368127,46446.818392940084,2153.0,100000.0,81.72641,118.0,166.0,46860.35613870665,2134.0,49707.0,82.22145774237029,119.0,182.0,50293.0,78.82200306205635,114.0,170.0,7.0,9.0,0.4217432052483599,,,,,,,,
hashtable_inmemory,memcached,balanced,8,benchmarks/results/raw/hashtable_inmemory/memcached/balanced/memcached_balanced_8threads.txt,2025-06-03T19:01:59.368536,52438.38489774515,1907.0,100000.0,144.00816,220.0,599.0,57339.449541284404,1744.0,50320.0,131.19864864864866,206.0,318.0,49680.0,126.53480273752012,196.0,297.0,7.0,9.0,0.5160550458715597,,,,,,,,
hashtable_inmemory,memcached,balanced,16,benchmarks/results/raw/hashtable_inmemory/memcached/balanced/memcached_balanced_16threads.txt,2025-06-03T19:01:59.368989,57471.26436781609,1740.0,100000.0,259.8222,548.0,1112.0,57306.59025787966,1745.0,50256.0,264.86160856415154,533.0,1004.0,49744.0,255.39395706014795,528.0,998.0,8.0,11.0,0.6303724928366762,,,,,,,,
hashtable_inmemory,memcached,read_heavy,1,benchmarks/results/raw/hashtable_inmemory/memcached/read_heavy/memcached_read_heavy_1threads.txt,2025-06-03T19:01:59.372970,23786.86964795433,4204.0,100000.0,40.00907,64.0,110.0,24618.41457410143,4062.0,90118.0,38.32285447968219,59.0,95.0,9882.0,42.09846184982797,73.0,117.0,6.0,7.0,0.17232890201870998,,,,,,,,
hashtable_inmemory,memcached,read_heavy,4,benchmarks/results/raw/hashtable_inmemory/memcached/read_heavy/memcached_read_heavy_4threads.txt,2025-06-03T19:01:59.372588,42753.31338178709,2339.0,100000.0,88.83322,140.0,237.0,47036.688617121355,2126.0,89944.0,80.46323267811083,118.0,168.0,10056.0,82.85710023866348,123.0,176.0,7.0,8.0,0.37629350893697083,,,,,,,,
hashtable_inmemory,memcached,read_heavy,8,benchmarks/results/raw/hashtable_inmemory/memcached/read_heavy/memcached_read_heavy_8threads.txt,2025-06-03T19:01:59.371585,59101.654846335696,1692.0,100000.0,126.92975,190.0,276.0,55741.36008918618,1794.0,89926.0,134.61362675978026,213.0,286.0,10074.0,133.52511415525115,207.0,281.0,7.0,9.0,0.5016722408026756,,,,,,,,
hashtable_inmemory,memcached,read_heavy,16,benchmarks/results/raw/hashtable_inmemory/memcached/read_heavy/memcached_read_heavy_16threads.txt,2025-06-03T19:01:59.372045,59417.70647653001,1683.0,100000.0,251.68655,480.0,981.0,56625.14156285391,1766.0,89998.0,262.9504433431854,692.0,1649.0,10002.0,279.7875424915017,712.0,1591.0,7.0,10.0,0.5662514156285391,,,,,,,,
hashtable_inmemory,memcached,write_heavy,1,benchmarks/results/raw/hashtable_inmemory/memcached/write_heavy/memcached_write_heavy_1threads.txt,2025-06-03T19:01:59.369546,23540.48964218456,4248.0,100000.0,40.5754,62.0,110.0,25425.883549453345,3933.0,10013.0,42.769899131129534,72.0,124.0,49946.0,34.86229127457654,50.0,85.0,11.0,14.0,0.35596236969234685,40041.0,38.584376014585054,56.0,93.0,,,,
hashtable_inmemory,memcached,write_heavy,4,benchmarks/results/raw/hashtable_inmemory/memcached/write_heavy/memcached_write_heavy_4threads.txt,2025-06-03T19:01:59.369882,46446.818392940084,2153.0,100000.0,81.3897,117.0,162.0,47281.32387706856,2115.0,9950.0,86.80874371859296,127.0,187.0,49855.0,76.85762711864406,111.0,153.0,11.0,13.0,0.6146572104018913,40195.0,81.01134469461375,116.0,161.0,,,,
hashtable_inmemory,memcached,write_heavy,8,benchmarks/results/raw/hashtable_inmemory/memcached/write_heavy/memcached_write_heavy_8threads.txt,2025-06-03T19:01:59.371086,58962.264150943396,1696.0,100000.0,126.5796,192.0,276.0,57736.72055427252,1732.0,10163.0,136.07045163829576,219.0,317.0,49917.0,121.92104894124246,190.0,264.0,11.0,14.0,0.8083140877598153,39920.0,128.45756513026052,199.0,293.0,,,,
hashtable_inmemory,memcached,write_heavy,16,benchmarks/results/raw/hashtable_inmemory/memcached/write_heavy/memcached_write_heavy_16threads.txt,2025-06-03T19:01:59.370311,57703.40450086555,1733.0,100000.0,260.66067,669.0,1673.0,49677.098857426725,2013.0,10021.0,310.1109669693643,609.0,1545.0,50093.0,293.72059968458666,579.0,1661.0,12.0,17.0,0.8445106805762544,39886.0,307.2612696184125,594.0,1749.0,,,,
hashtable_inmemory,redis,balanced,1,benchmarks/results/raw/hashtable_inmemory/redis/balanced/redis_balanced_1threads.txt,2025-06-03T19:01:59.373772,19076.68828691339,5242.0,100000.0,50.78177,59.0,83.0,41753.65344467641,2395.0,49824.0,22.764872350674374,28.0,43.0,50176.0,21.842813297193878,27.0,44.0,3.0,2.0,0.08350730688935282,,,,,,,,
